Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24/07/2025 14:25:39
Collection Length (seconds):, 60.183
Avanti Sensor 5 (74128)
sensor mode: 66
ORIENTATION W Time Series (s), ORIENTATION W (Quaternions), ORIENTATION X Time Series (s), ORIENTATION X (Quaternions), ORIENTATION Y Time Series (s), ORIENTATION Y (Quaternions), ORIENTATION Z Time Series (s), ORIENTATION Z (Quaternions)
, 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.837, 0.9421387, 0.837, 0.2597656, 0.837, -0.0648193, 0.837, -0.2017212, , , , , , , , , , , , , , , , , , , , , , 
0.8505, 0.9421387, 0.8505, 0.2597656, 0.8505, -0.0647583, 0.8505, -0.2016602, , , , , , , , , , , , , , , , , , , , , , 
0.864, 0.9421997, 0.864, 0.2597046, 0.864, -0.0647583, 0.864, -0.2014771, , , , , , , , , , , , , , , , , , , , , , 
0.8775, 0.9422607, 0.8775, 0.2597046, 0.8775, -0.0647583, 0.8775, -0.201355, , , , , , , , , , , , , , , , , , , , , , 
0.891, 0.9422607, 0.891, 0.2597046, 0.891, -0.0648193, 0.891, -0.2011719, , , , , , , , , , , , , , , , , , , , , , 
0.9045, 0.9422607, 0.9045, 0.2597046, 0.9045, -0.0648804, 0.9045, -0.2010498, , , , , , , , , , , , , , , , , , , , , , 
0.918, 0.9423218, 0.918, 0.2597656, 0.918, -0.0648804, 0.918, -0.2009277, , , , , , , , , , , , , , , , , , , , , , 
0.9315, 0.9423218, 0.9315, 0.2597656, 0.9315, -0.0648804, 0.9315, -0.2009277, , , , , , , , , , , , , , , , , , , , , , 
0.945, 0.9422607, 0.945, 0.2597656, 0.945, -0.0649414, 0.945, -0.2010498, , , , , , , , , , , , , , , , , , , , , , 
0.9585, 0.9422607, 0.9585, 0.2597656, 0.9585, -0.0649414, 0.9585, -0.2011108, , , , , , , , , , , , , , , , , , , , , , 
0.972, 0.9422607, 0.972, 0.2597656, 0.972, -0.0649414, 0.972, -0.2010498, , , , , , , , , , , , , , , , , , , , , , 
0.9855, 0.9423218, 0.9855, 0.2597656, 0.9855, -0.0648804, 0.9855, -0.2008667, , , , , , , , , , , , , , , , , , , , , , 
0.999, 0.9423218, 0.999, 0.2598267, 0.999, -0.0648804, 0.999, -0.2008057, , , , , , , , , , , , , , , , , , , , , , 
1.0125, 0.9423828, 1.0125, 0.2598267, 1.0125, -0.0648193, 1.0125, -0.2006836, , , , , , , , , , , , , , , , , , , , , , 
1.026, 0.9423828, 1.026, 0.2598267, 1.026, -0.0646973, 1.026, -0.2004395, , , , , , , , , , , , , , , , , , , , , , 
1.0395, 0.9424438, 1.0395, 0.2598877, 1.0395, -0.0647583, 1.0395, -0.2001343, , , , , , , , , , , , , , , , , , , , , , 
1.053, 0.9424438, 1.053, 0.2598877, 1.053, -0.0646973, 1.053, -0.2000732, , , , , , , , , , , , , , , , , , , , , , 
1.0665, 0.9425049, 1.0665, 0.2598877, 1.0665, -0.0646973, 1.0665, -0.1998901, , , , , , , , , , , , , , , , , , , , , , 
1.08, 0.9425049, 1.08, 0.2598877, 1.08, -0.0646973, 1.08, -0.1997681, , , , , , , , , , , , , , , , , , , , , , 
1.0935, 0.9425659, 1.0935, 0.2598877, 1.0935, -0.0646362, 1.0935, -0.199646, , , , , , , , , , , , , , , , , , , , , , 
1.107, 0.9425659, 1.107, 0.2598877, 1.107, -0.0646362, 1.107, -0.199646, , , , , , , , , , , , , , , , , , , , , , 
1.1205, 0.9425659, 1.1205, 0.2598877, 1.1205, -0.0646362, 1.1205, -0.199707, , , , , , , , , , , , , , , , , , , , , , 
1.134, 0.9425049, 1.134, 0.2599487, 1.134, -0.0646973, 1.134, -0.199646, , , , , , , , , , , , , , , , , , , , , , 
1.1475, 0.9425659, 1.1475, 0.2599487, 1.1475, -0.0646973, 1.1475, -0.1995239, , , , , , , , , , , , , , , , , , , , , , 
1.161, 0.9425659, 1.161, 0.2600098, 1.161, -0.0648193, 1.161, -0.1994019, , , , , , , , , , , , , , , , , , , , , , 
1.1745, 0.9425659, 1.1745, 0.2600098, 1.1745, -0.0648804, 1.1745, -0.1994019, , , , , , , , , , , , , , , , , , , , , , 
1.188, 0.9425049, 1.188, 0.2600708, 1.188, -0.0648804, 1.188, -0.1994019, , , , , , , , , , , , , , , , , , , , , , 
1.2015, 0.9425659, 1.2015, 0.2600708, 1.2015, -0.0648804, 1.2015, -0.1994019, , , , , , , , , , , , , , , , , , , , , , 
1.215, 0.9425659, 1.215, 0.2600708, 1.215, -0.0647583, 1.215, -0.1994019, , , , , , , , , , , , , , , , , , , , , , 
1.2285, 0.9425659, 1.2285, 0.2601318, 1.2285, -0.0647583, 1.2285, -0.1993408, , , , , , , , , , , , , , , , , , , , , , 
1.242, 0.9425049, 1.242, 0.2601318, 1.242, -0.0646973, 1.242, -0.199585, , , , , , , , , , , , , , , , , , , , , , 
1.2555, 0.9425049, 1.2555, 0.2600708, 1.2555, -0.0646973, 1.2555, -0.199646, , , , , , , , , , , , , , , , , , , , , , 
1.269, 0.9424438, 1.269, 0.2600098, 1.269, -0.0647583, 1.269, -0.1999512, , , , , , , , , , , , , , , , , , , , , , 
